zip_code,percent_change,equity_risk,2008_avg_salespr,2009_avg_salespr,2010_avg_salespr,2011_avg_salespr,2012_avg_salespr,2013_avg_salespr,2014_avg_salespr,2015_avg_salespr,2016_avg_salespr,2017_avg_salespr,2018_avg_salespr,2019_avg_salespr
54166,-0.587016006063734,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,150722.0158333334,87416.66666666667,92708.33333333333,96458.33333333333,102825.0,107258.33333333333,112050.0,113775.0
32025,-0.494168885124825,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,79766.66666666667,82741.66666666667,79708.33333333333,90583.33333333333,95175.0,111300.0,131350.0
47172,-0.167718407903622,False,251217.92599999998,226411.61916666682,224630.49916666676,148489.48000000004,139550.0,146475.0,147691.66666666666,162591.66666666666,165766.66666666666,167508.33333333334,193558.33333333334,205941.66666666666
35763,0.00534862552650347,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212708.33000000002,202425.0,208575.0,211433.33333333334,230266.66666666666,226650.0,235316.66666666666,263091.6666666667
55435,-0.262422471261309,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,267540.0775000003,281017.9766666668,195467.30333333334,219766.66666666666
37210,-0.00542164050240994,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,173858.69833333333,165908.33333333334,197000.0,225183.33333333334,238725.0
97215,0.520110531163648,True,335080.0,321133.3333333333,321475.0,325158.3333333333,335358.3333333333,343141.6666666667,385041.6666666667,449975.0,496150.0,531116.6666666666,536433.3333333334,521158.3333333333
14610,-0.363440138842842,False,251217.92599999998,226411.61916666682,224630.49916666676,177798.07833333325,149450.0,153600.0,165175.0,158941.66666666666,175683.33333333334,172275.0,178066.66666666666,187866.66666666666
92532,0.190533980582524,True,274140.0,213925.0,219600.0,205475.0,208891.66666666666,265025.0,292708.3333333333,313875.0,334350.0,359583.3333333333,386533.3333333333,389933.3333333333
91040,0.529777777777778,True,397770.0,354991.6666666667,378950.0,324025.0,321775.0,379350.0,424591.6666666667,462916.6666666667,519650.0,564241.6666666666,596866.6666666666,622416.6666666666
18914,0.276833607151872,True,251217.92599999998,226411.61916666682,224630.49916666676,272424.58249999984,296841.6666666667,309658.3333333333,319225.0,309975.0,306483.3333333333,304341.6666666667,332541.6666666667,347633.3333333333
53149,0.0120336182341049,True,251217.92599999998,226411.61916666682,224630.49916666676,204681.41166666656,214633.33333333334,203825.0,216841.66666666666,239808.33333333334,252475.0,272258.3333333333,282908.3333333333,304400.0
32934,0.081111876212653,True,251217.92599999998,226411.61916666682,207978.77416666667,173783.33333333334,162216.66666666666,185508.33333333334,201525.0,220475.0,240916.66666666666,274275.0,275775.0,295908.3333333333
44092,-0.582930732742422,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,171199.78750000012,101775.0,94658.33333333333,100125.0,106500.0,110641.66666666667,123566.66666666667
48240,-0.6375248398545,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,109410.09249999997,65100.0,79125.0,90300.0
30277,0.484375,True,185590.0,177283.33333333334,170416.66666666666,163608.33333333334,152033.33333333334,172750.0,194775.0,196791.66666666666,223775.0,229700.0,246758.33333333334,258750.0
48838,-0.449602267074149,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,149477.3191666667,90725.0,98350.0,107800.0,120800.0,136700.0,153666.66666666666
90061,0.674590673254157,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,295047.41000000003,341716.6666666667,383591.6666666667,425625.0
6401,-0.172546458192446,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,267540.0775000003,210647.2558333333,190741.66666666666,207083.33333333334
83204,-0.415063138084875,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,255611.48500000034,139075.0,157583.33333333334,161516.66666666666
4073,-0.219712795629411,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,144775.9591666667,123816.66666666667,145308.33333333334,152800.0,163141.66666666666,171408.33333333334,195166.66666666666
57783,-0.0295618919465262,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,236398.27250000002,230950.0,234541.66666666666,247550.0,272866.6666666667
8260,-0.00393608656738741,False,251217.92599999998,226411.61916666682,266005.245,263675.0,254858.33333333334,232733.33333333334,254525.0,241325.0,239325.0,248583.33333333334,251975.0,261533.33333333334
19804,0.018408229561451,True,182600.0,173758.33333333334,167025.0,157408.33333333334,123675.0,125975.0,141050.0,148116.66666666666,166008.33333333334,173425.0,180408.33333333334,181550.0
63084,-0.410606476279808,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,163498.57000000004,138033.33333333334,151266.66666666666,145308.33333333334,161800.0
75142,-0.089726826314939,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,234164.97000000006,154325.0,170875.0,190391.66666666666,195783.33333333334
53089,0.0970815810141453,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,279936.89750000014,290983.3333333333,311516.6666666667,305816.6666666667
55405,0.54423331545593,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,263664.97000000003,328875.0,310200.0,334116.6666666667,392441.6666666667
34228,-0.499157775698019,False,637140.0,518466.6666666667,538441.6666666666,450291.6666666667,496975.0,483591.6666666667,516083.3333333333,540191.6666666666,564233.3333333334,599516.6666666666,586325.0,498531.5266666668
15228,0.0183472224579507,True,251217.92599999998,226411.61916666682,224630.49916666676,206027.50083333312,195941.66666666666,220008.33333333334,214675.0,226200.0,263200.0,250133.33333333334,268941.6666666667,289833.3333333333
34235,0.090685066535239,True,170320.0,134775.0,126158.33333333333,122950.0,127450.0,137575.0,149733.33333333334,165400.0,190000.0,190708.33333333334,208725.0,210241.66666666666
68505,-0.366411246712887,False,251217.92599999998,226411.61916666682,148406.61833333338,120150.0,120666.66666666667,122308.33333333333,119591.66666666667,130575.0,139025.0,150016.66666666666,163308.33333333334,165516.66666666666
73142,-0.0611299130657552,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,267540.0775000003,218514.14166666663,216008.33333333334,237375.0
44241,-0.364182915810353,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,267540.0775000003,227995.7333333333,153233.33333333334,171091.66666666666
21409,0.778579448705735,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,282375.3350000001,344925.0,360075.0,342750.0,359708.3333333333,386341.6666666667,389283.3333333333,402341.6666666667
84737,0.0324599848406648,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,209604.4541666668,202933.33333333334,231533.33333333334,239525.0,264250.0,289858.3333333333
20657,-0.112812850205454,False,232430.0,218366.66666666666,200825.0,185291.66666666666,210283.33333333334,192583.33333333334,190358.33333333334,177725.0,174341.66666666666,198375.0,214041.66666666666,230700.0
50312,-0.179231450900047,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,186868.42583333328,175441.66666666666,193183.33333333334,204058.33333333334
1001,-0.251652205232396,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,201673.27250000002,175991.66666666666,181533.33333333334,183158.33333333334,186233.33333333334
2451,1.15405320578268,True,251217.92599999998,226411.61916666682,300710.2216666666,316183.3333333333,362900.0,379491.6666666667,398483.3333333333,420641.6666666667,461283.3333333333,495991.6666666667,529291.6666666666,560241.6666666666
32920,-0.169575350322401,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,267540.0775000003,188058.33333333334,209091.66666666666,207116.66666666666
46637,-0.454430317362972,False,251217.92599999998,194507.2475000001,113175.0,107341.66666666667,106241.66666666667,113150.0,107400.0,116491.66666666667,126216.66666666667,133925.0,136358.33333333334,143391.66666666666
62711,-0.0681862942571122,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,231458.6983333333,225400.0,218575.0,230591.66666666666,237525.0
12801,-0.334843225593658,False,251217.92599999998,226411.61916666682,224630.49916666676,170115.96333333323,123625.0,129983.33333333333,132183.33333333334,134241.66666666666,134108.33333333334,130358.33333333333,141441.66666666666,156825.0
33566,-0.0878698838961609,False,251217.92599999998,173395.66166666668,159191.66666666666,131983.33333333334,130158.33333333333,147533.33333333334,150141.66666666666,181100.0,176000.0,202783.33333333334,218775.0,240766.66666666666
28801,0.481840050184983,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,267540.0775000003,281017.9766666668,352575.0,353325.0
